030ALLDREN RUTH   21G2020000
185DONNEMAN THOMAS06G0423009
004ACHER WILLIAM  01N0726005
325HATFIELD MARK  01G1122002
730REEDE OWEN     09G0555010
111CARTOLER VIOLET02G0998007
590NEIL CLARENCE  07N0065009
801SCHEIBER HARRY 01N1000000
956WANGLEY THEO   01N0999991
999BAKER RON      03G3000014
181DELBERT EDWARD 12G0659013
311GROLER GRACE   23N0643020
318HANEY CAROL    09G5000014
487KING MILDRED   18N0919963
834TRAWLEY HARRIS 05N7326005
027ALHOUER ELAINE 01G2573002
171COSTA NAN      15N0356005
317HANBEE ALETA   03G5000003
739RIDEL ROBERT   05N0194008
806STOCKTON NORMAN06G2507007
122CENNA DICK     03N5777004
207EBERHARDT RON  05G4007009
308GLEASON JAMES  01G5000003
568LYNNF GERALD   09N4487013
909UDSON DORIS    01N4499003
100BATES TONY     08N1066020
179DAMSON ERIC    03N2502018
292EVERLEY DONNA  03G2000017
409ICK MICK       25G9999999
607ODELLE NICK    10G2507018
825TILLMAN DON    12N0444019
214EDMONSON RICK  02N1000000
310GORMALLY MARIE 03N3022006
332HELD ANNA      02G4000002
689OWNEY REED     04N3174603
802SHEA MICHAEL   06G2033008
102BELLSLEY ART   08G3000009
282ESTABAN JUAN   19G4055000
322HARLETON JEAN  07N0899012
505LAMBERT JERRY  01G4001004
921ULL GEORGE     18N2298851
105BOYLE RALPH    08N8044014
215EDSON WILBUR   06G7050008
315HALE ALAN      12N4000016
