A12JOHN        100129088092111074
A14ANNE        092114112077121080
B10ADAM        000000000000000000
B12JOANNE      104129088092000000
B13LEE         119104080095131074
B14MARGARET    090000000000120121
C09SAM         102102129120099098
C11JOHNNY      088087043000000050
C13HELEN       130131140112125126
C17DOMINIC     099100099099099099
C19GERRY       120118120110110094
C21EARL        114000129000130130
C22AMANDA      000000000000000000
C23GEORGE      000000000000000000
C25MELISSA     134130101121098134
C27JIM         065000045067087100
