10JIM     4000103000600
12BETH    5000205001000
21TOM     6000205001325
30SALLY   0207200500100
31GERRY   7999056000700
39CINDY   3751194000600
45SAMMY   5000105001000
49HARVEY  5001178750900
52PHIL    5002199992000
60WILLIAM 9003080750950
61WANDA   9006088001000
68GEORGE  4564073000900
69IRVING  4567073000900
70ROSEMARY0999290750200
75RONNIE  9999999999999
77MARK    4999084010900
88ERIC    4998093000400
81BOB     0002490100900
85FRANK   9999010011000
87DAVID   8888080800800
66MARIO   5997239992000
99WAYNE   5998239992000
